Date,Open,High,Low,Price,Vol,Change,BBL_200_2,BBM_200_2,BBU_200_2,EMA_100,EMA_200,EMA_50,Price_EMA50_Ratio,RSI_14,Return_20,Return_60,V_Roll_MEAN_20,V_Roll_MEAN_60
2017-10-04,4314.20000,4355.30000,4183.60000,4218.70000,64080.00000,-0.02210,367.77866,2628.88600,4889.99334,3569.19932,2892.16050,3971.98339,1.06211,53.58443,0.30082,0.29297,113270.50000,113939.66667
2017-10-05,4218.70000,4365.80000,4143.40000,4321.40000,63610.00000,0.02440,383.25552,2645.38000,4907.50448,3584.09438,2906.38178,3985.68601,1.08423,56.23133,0.16361,0.33707,94023.50000,113988.83333
2017-10-06,4321.40000,4422.10000,4296.90000,4371.90000,61690.00000,0.01170,398.23191,2662.00200,4925.77209,3599.69449,2920.96406,4000.83165,1.09275,57.51432,0.18195,0.28513,88640.00000,113548.50000
2017-10-07,4371.90000,4472.90000,4319.50000,4435.80000,40200.00000,0.01460,411.63640,2678.57450,4945.51260,3616.25104,2936.03705,4017.88923,1.10401,59.14619,0.20224,0.29346,85846.50000,112436.16667
2017-10-08,4435.80000,4622.90000,4419.40000,4611.70000,71370.00000,0.03970,425.04767,2696.40950,4967.77133,3635.96290,2952.71031,4041.17593,1.14118,63.32250,0.12472,0.37712,82018.50000,112008.00000
2017-10-09,4611.70000,4875.40000,4556.10000,4777.50000,110190.00000,0.03590,437.16303,2715.12200,4993.08097,3658.56759,2970.86742,4070.05138,1.17382,66.77065,0.22249,0.39461,81367.00000,112661.16667
2017-10-10,4777.50000,4930.00000,4722.80000,4763.40000,98490.00000,-0.00300,452.02636,2734.24050,5016.45464,3680.44546,2988.70357,4097.24153,1.16259,66.20066,0.22698,0.30347,81959.00000,112676.66667
2017-10-11,4763.40000,4874.90000,4718.60000,4824.20000,70480.00000,0.01280,466.20418,2753.53000,5040.85582,3703.09407,3006.96722,4125.74970,1.16929,67.48943,0.33365,0.24605,78226.50000,111791.50000
2017-10-12,4824.20000,5432.60000,4815.00000,5432.60000,163920.00000,0.12610,471.55581,2775.84600,5080.13619,3737.34171,3031.10287,4176.99873,1.30060,76.95758,0.50872,0.33722,80686.50000,111880.33333
2017-10-13,5432.60000,5852.80000,5392.00000,5637.30000,215020.00000,0.03770,472.54536,2798.80700,5125.06864,3774.96464,3057.03518,4234.26545,1.33135,79.15703,0.48820,0.30255,88046.50000,113323.00000
2017-10-14,5637.30000,5839.60000,5568.90000,5824.70000,76220.00000,0.03330,470.94963,2822.70850,5174.46737,3815.55346,3084.57413,4296.63543,1.35564,80.94979,0.58819,0.39960,89374.50000,111067.00000
