Date,Open,High,Low,Price,Vol,Change,BBB_20_2,BBL_20_2,BBM_20_2,BBP_20_2,BBU_20_2,EMA_20,EMA_200,EMA_50,RSI_14,Return_1,Return_5,V_Roll_MEAN_20
2018-03-20,8614.10000,9039.60000,8326.80000,8912.60000,253440.00000,0.03430,48.89051,7175.06403,9496.51000,0.37424,11817.95597,9129.01599,9092.25779,9863.93804,45.93555,0.03433,0.07843,249067.50000
2018-03-21,8912.40000,9173.40000,8775.10000,8905.90000,218190.00000,-0.00080,47.69993,7155.49896,9396.58000,0.39053,11637.66104,9107.76685,9090.40348,9826.36793,45.87613,-0.00075,0.07440,250538.50000
2018-03-22,8903.70000,9096.20000,8499.10000,8726.20000,223010.00000,-0.02020,46.45890,7133.13937,9291.50500,0.36904,11449.87063,9071.42715,9086.77957,9783.22409,44.22358,-0.02018,0.10810,251604.50000
2018-03-23,8725.30000,8917.00000,8305.60000,8916.80000,210110.00000,0.02180,42.15652,7234.93738,9167.23000,0.43520,11099.52262,9056.70075,9085.08823,9749.24667,46.42785,0.02184,0.08726,253500.00000
2018-03-24,8917.30000,9008.80000,8523.60000,8547.40000,177430.00000,-0.04140,36.52928,7375.61477,9023.77500,0.35548,10671.93523,9008.19592,9079.73810,9702.11543,42.89008,-0.04143,-0.00805,254551.50000
2018-03-25,8549.10000,8679.00000,8392.20000,8473.20000,149520.00000,-0.00870,28.76180,7603.75072,8880.90500,0.34039,10158.05928,8957.24393,9073.70289,9653.92267,42.19457,-0.00868,-0.04930,253922.00000
2018-03-26,8474.00000,8515.70000,7865.90000,8143.50000,247180.00000,-0.03890,23.20805,7738.47110,8754.32500,0.19935,9770.17890,8879.74451,9064.44714,9594.69040,39.15618,-0.03891,-0.08561,254748.50000
2018-03-27,8146.50000,8218.30000,7760.60000,7801.70000,223100.00000,-0.04200,22.00321,7697.70695,8649.26500,0.05464,9600.82305,8777.07360,9051.88249,9524.37706,36.24250,-0.04197,-0.10595,251676.50000
2018-03-28,7803.00000,8110.40000,7754.50000,7954.90000,167360.00000,0.01960,22.09768,7633.79741,8582.01000,0.16932,9530.22259,8698.77135,9040.96724,9462.82894,38.45315,0.01964,-0.10788,247231.50000
2018-03-29,7955.20000,7980.70000,6954.90000,7129.20000,348750.00000,-0.10380,25.81097,7383.54187,8477.62000,-0.11624,9571.69813,8549.28837,9021.94468,9371.31408,32.01094,-0.10380,-0.16592,246096.00000
2018-03-30,7132.40000,7288.10000,6603.80000,6853.70000,417310.00000,-0.03860,30.85098,7089.20860,8382.20500,-0.09107,9675.20140,8387.80376,9000.37011,9272.58411,30.19334,-0.03864,-0.19113,257025.00000
